"","Group","Species","dry_mass_g","Temp_C","Mortality_yr","Ref"
"460","Mammal","Sorex minutus",1.125,38,1.429,128
"461","Mammal","Sorex vagrans",1.106,38,2.381,128
"462","Mammal","Spilocuscus maculatus",1600,38,0.233,128
"463","Mammal","Stenella attenuata",25000,38,0.055,128
"464","Mammal","Stenella coeruleoalba",25000,38,0.05,128
"465","Mammal","Suncus etruscus",0.45,38,2.381,128
"466","Mammal","Suncus etruscus",0.45,38,1.429,128
"467","Mammal","Suncus murinus",21.66,38,1.111,128
"468","Mammal","Sundamys muelleri",106,38,10,128
"469","Mammal","Sus scrofa",21560,38,0.127,128
"470","Mammal","Sus scrofa",21560,38,0.12,128
